,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,Bambous Virieux,-20.34,57.76,75.2,94,20,9.22,MU,1587953206
299,Srandakan,-7.94,110.25,86.23,66,5,8.66,ID,1587953206
300,Teya,60.38,92.63,53.01,46,87,9.17,RU,1587953206
301,Gondanglegi,-7.75,112.01,85.59,68,38,4.85,ID,1587953207
302,West Plains,36.73,-91.85,60.8,48,1,3.71,US,1587953195
303,Snezhnogorsk,69.19,33.25,30.2,92,75,6.71,RU,1587953207
304,Half Moon Bay,37.46,-122.43,71.6,67,1,5.82,US,1587953208
305,Port Elizabeth,-33.92,25.57,64.4,82,20,18.34,ZA,1587953179
306,Mobai,7.99,-10.75,73.26,90,85,1.16,SL,1587953208
307,Macao,22.2,113.55,77.0,69,20,6.93,MO,1587953209
308,Carbondale,37.73,-89.22,57.2,44,1,3.36,US,1587952601
309,Shimoda,34.67,138.95,66.0,72,75,10.29,JP,1587953209
310,Bam,29.11,58.36,79.7,18,93,3.02,IR,1587953210
311,Rocha,-34.48,-54.33,58.62,82,38,8.97,UY,1587953066
312,Lokosovo,61.13,74.82,51.12,59,75,13.4,RU,1587953210
313,Skibbereen,51.55,-9.27,48.2,87,75,9.17,IE,1587953211
314,Ankazoabo,-22.28,44.52,63.52,75,19,7.58,MG,1587953211
315,Portland,45.52,-122.68,66.99,34,90,10.29,US,1587952694
316,Abu Samrah,35.3,37.18,52.39,77,20,6.71,SY,1587953212
317,Cândido Mendes,-1.45,-45.72,75.43,90,85,1.52,BR,1587953212
318,Kalmunai,7.42,81.82,85.62,70,20,5.73,LK,1587953213
319,Alofi,-19.06,-169.92,84.2,74,36,8.05,NU,1587953213
320,Prieska,-29.66,22.75,64.26,39,84,4.97,ZA,1587953213
321,Goderich,43.75,-81.72,46.0,80,25,9.04,CA,1587953214
322,Murighiol,45.03,29.17,45.0,60,87,5.82,RO,1587953214
323,Mehrān,33.12,46.16,44.6,75,10,4.7,IR,1587953068
